Empresa	Ubicación (Ciudad, Estado)	Correo Electrónico	Teléfono	Fax
FRESH KIST PRODUCE	Salinas, California	sales@freshkist.com	831-775-1000	831-757-2357
FRESH 'N HEALTHY FARMS	Hollister, California	tpavich@fnhfarms.com	800-801-6600	408-847-7286
FRESH NETWORK, LLC	Salinas, California	ldietz@freshnetwork.com	831-422-5400	831-422-4102
FRESH PAC INT’L.	Oceanside, California	brian@freshpac.com	760-439-3939	760-439-0208
FRESH PACK PROD.	Kingsville, Ontario, Canadá	rick@freshpack.ca	519-326-8045	519-326-4041
FRESH PICK FARMS, INC.	N/A	skeller@freshpick.com	206-441-5064	917-464-8272
FRESH PLANTS, INC.	Americus, Georgia	freshplantsinc@bellsouth.net	229-928-2669	229-928-0193
FRESH QUEST, INC.	Pompano Beach, Florida	floffice@freshquest.net	954-946-9554	954-946-8760
FRESH SELECT, INC.	Santa Maria, California	freshselectprod@aol.com	805-739-5501	805-739-5505
FRESH SOURCE PRODUCE	Redondo Beach, California	rosalinda@freshsourceproduce.com	310-534-4390	310-530-7901
FRESH START PRODUCE SALES	Delray Beach, Florida	steven@freshstartproducesales.com	561-496-7250	561-496-7670
FRESH TASTE PROD. USA	Filadelfia, Pensilvania	gc@freshtasteusa.com	877-632-9250	215-739-5058
FRESH TASTE PRODUCE	Toronto, Ontario, Canadá	tchan@freshtast.ca	416-255-2361	416-255-8742
FRESH TRIM, LLC	Santa Maria, California	vleedy@juno.com	805-922-8088	805-922-0878
FRESH WAVE, LLC., THE	Vineland, Nueva Jersey	thefreshwave@comcast.net	856-794-1408	856-794-1202
FRESHPOINT OF SOUTHERN CA	Irwindale, California	john.brickley@freshpoint.com	626-813-5600	626-962-4435
FRESHTEX PRODUCE, LLC.	McAllen, Texas	freshtex@yahoo.com	956-283-8014	956-283-9267
FRESH-VEG. DISTRIBUTORS	Boca Ratón, Florida	mfvd123@bellsouth.net	561-347-1119	561-347-1916
FRESKA PRODUCE INT'L.	Ventura, California	chuy@freskaproduce.com	805-650-1040	805-650-3550
FREY PRODUCE, INC.	N/A	frey_produce@wabash.net	618-835-2536	618-835-2754
FRIO SPINACH CO., INC.	N/A	friospinach@hotmail.com	830-334-4819	830-334-8076
FRIO VALLEY PRODUCE	San Antonio, Texas	frio@sbcglobal.net	210-212-4744	210-212-3512
FRONTERA PRODUCE	Edinburg, Texas	will@fronteraproduce.com	956-381-5701	956-381-5706
FRUIT CENTER, THE	Manchester, Nuevo Hampshire	N/A	603-641-0080	603-64109785
FRUIT DISTRIBUTING CO.	Los Ángeles, California	vhire@pacbell.net	323-780-1000	323-780-1088
FRUIT PATCH SALES	Dinuba, California	dparker@fruitpatch.net	559-591-1170	559-591-1157
FRUIT ROYALE, INC.	Delano, California	lgalvan@fruitroyale.com	661-720-2740	661-720-2745
FRUIT SMART MARKETING	El Cajón, California	fruitsmart@sbcglobal.net	N/A	N/A
FRUITCO CORP	Nueva York, Nueva York	N/A	718-893-4500	718-893-4505
FRUITLYNX MARKETING LTD.	N/A	export@fruitlynz.co.nz	649-917-149	649-917-149
FRUMEX, LLC	Hidalgo, Texas	jcamou@frumex.com	956-843-8788	956-843-6858
FRU-VEG MARKETING	Miami, Florida	conchi@fruveg.com	305-591-7766	305-591-7665
FRUVEL CORPORATION	Houston, Texas	cesarcortes@fruvel.com	713-691-1313	713-691-3131
FUNKHOUSER, RON, SALES	Martinsburg, Virginia Occidental	N/A	304-229-2880	304-229-0542
G & D PRODUCE	Linn, Texas	N/A	956-381-8550	956-381-8596
G & G ORCHARDS, INC.	Yakima, Washington	gginc@televar.com	509-678-4920	509-678-4990
G & K DISTRIBUTING, INC.	City of Industry, California	N/A	626-336-3332	626-336-3773
G & N PRODUCE CO.	Oakland, California	N/A	510-451-1330	510-451-1220
